# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 162K of event 'cpu-clock'
# Event count (approx.): 40602750000
#
# Overhead  Command  Shared Object        Symbol                                                                                                                       
# ........  .......  ...................  .............................................................................................................................
#
    92.07%  MolSim   MolSim               [.] LinkedCell<LennardJones, 2ul, true>::performUpdate
     3.34%  MolSim   MolSim               [.] LinkedCell<LennardJones, 2ul, true>::calculateNextStep
     2.27%  MolSim   MolSim               [.] LinkedCellContainer<2ul>::updateCells
     1.64%  MolSim   MolSim               [.] LinkedCellContainer<2ul>::getIndexBasedOnCoordinates
     0.42%  MolSim   MolSim               [.] Boundary<2ul>::applyCellProperties
     0.13%  MolSim   [kernel.vmlinux]     [k] __do_softirq
     0.06%  MolSim   [kernel.vmlinux]     [k] _raw_spin_unlock_irqrestore
     0.01%  MolSim   ld-2.33.so           [.] do_lookup_x
     0.00%  MolSim   MolSim               [.] std::normal_distribution<double>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >
     0.00%  MolSim   [kernel.vmlinux]     [k] hidinput_hid_event
     0.00%  MolSim   ld-2.33.so           [.] _dl_lookup_symbol_x
     0.00%  MolSim   MolSim               [.] MDSimulation<LinkedCell<LennardJones, 2ul, true>, 2ul>::performSimulation
     0.00%  MolSim   MolSim               [.] Thermostat<2ul>::applyThermostat
     0.00%  MolSim   [kernel.vmlinux]     [k] __kmalloc
     0.00%  MolSim   [kernel.vmlinux]     [k] __napi_build_skb
     0.00%  MolSim   [kernel.vmlinux]     [k] dma_sync_single_for_cpu
     0.00%  MolSim   [kernel.vmlinux]     [k] tcp_event_data_recv
     0.00%  MolSim   [kernel.vmlinux]     [k] tcp_v6_rcv
     0.00%  MolSim   ld-2.33.so           [.] _dl_relocate_object
     0.00%  MolSim   libc-2.33.so         [.] _int_malloc
     0.00%  MolSim   libstdc++.so.6.0.29  [.] operator new
     0.00%  MolSim   libxerces-c-3.2.so   [.] xercesc_3_2::RangeToken::addRange
     0.00%  MolSim   MolSim               [.] LinkedCellContainer<2ul>::init
     0.00%  MolSim   MolSim               [.] maxwellBoltzmannDistributedVelocity<2ul>
     0.00%  MolSim   MolSim               [.] std::vector<Particle<2ul>*, std::allocator<Particle<2ul>*> >::_M_realloc_insert<Particle<2ul>* const&>
     0.00%  MolSim   MolSim               [.] std::vector<Particle<2ul>, std::allocator<Particle<2ul> > >::emplace_back<Particle<2ul> >
