iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.00000,0.00000,0.00000,0.00000,0.00000,1.71120,0.00000,1.05217,0.00000,1.87287,0.00000,0.857497,0.00000,2.04417,0.00000,1.25126,0.00000,0.657142,0.00000,0.729512,0.00000,1.31964,0.00000,1.05203,0.00000,0.496697,0.00000,1.37087,0.00000,0.633850,0.00000,1.35011,0.00000,1.12895,0.00000,0.693294,0.00000,2.16525,0.00000,1.13833,0.00000,1.42403,0.00000,1.56619,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1000,0.00000,0.00000,0.00000,0.00000,1.98540,3.06153,1.12393,2.12623,1.40066,3.28942,1.32668,2.13681,1.70580,1.84892,4.51167,2.80296,1.90967,3.00688,2.88577,4.35991,1.59829,2.95225,4.55196,3.20411,3.43971,3.11743,1.38211,3.60563,2.32188,3.38992,2.90532,2.32943,2.50189,2.75437,3.43142,2.70227,2.65638,1.25506,1.65975,4.36314,1.10598,1.58430,0.743778,3.61558,6.66079,0.00000,0.00000,0.00000,0.00000,0.00000
2000,0.00000,0.00000,0.00000,0.00000,2.10023,0.824827,3.00563,4.74561,2.70533,3.11975,3.78628,3.76671,3.65740,2.83688,4.17409,4.07027,3.71855,4.42889,3.38907,6.57354,3.41579,3.31298,4.71411,4.09375,4.05294,4.54932,3.90010,4.20719,3.28717,6.34888,2.76035,2.21582,5.78019,3.60885,4.68463,3.41079,3.96663,3.73162,2.65939,1.20281,2.17583,1.88643,2.10854,1.84620,9.78155,0.00000,0.00000,0.00000,0.00000,0.00000
3000,0.00000,0.00000,0.00000,0.00000,4.70420,1.57809,2.51376,1.25792,2.07385,2.38814,2.06734,1.64319,2.01971,2.80745,5.72767,2.61771,2.47718,1.93474,2.73728,5.51322,2.02136,4.21983,3.40298,1.74721,2.96837,2.31897,3.57995,3.68856,2.44219,4.38204,1.76756,2.27894,2.76043,2.67148,4.43191,1.67391,0.776266,2.83110,1.51809,4.66831,2.39469,2.18456,0.686099,2.71908,0.913384,0.00000,0.00000,0.00000,0.00000,0.00000
4000,0.00000,0.00000,0.00000,0.00000,2.04310,3.10910,2.98898,1.02527,1.92934,2.46835,1.07910,1.77412,3.14442,1.26266,0.469192,1.27717,1.24731,3.12704,0.295385,0.776203,3.03711,1.66369,4.20154,2.50275,1.13812,2.38291,0.904448,4.82481,1.08998,1.86365,1.95247,2.18553,4.07908,0.214543,2.69061,1.29419,1.32486,2.55465,2.39942,2.03605,1.26554,2.70469,1.47911,1.90770,9.98277,0.00000,0.00000,0.00000,0.00000,0.00000
5000,0.00000,0.00000,0.00000,0.00000,2.61851,1.57429,2.06592,1.88085,0.263666,1.45176,0.963222,1.75165,2.20602,2.31029,2.21129,1.46881,0.502842,2.00630,1.10288,1.53686,2.77813,1.76108,1.78293,1.18600,2.07075,1.68424,0.904321,3.47947,1.23975,1.35980,1.64464,2.66524,2.66204,1.49075,1.79008,2.13345,1.46160,1.92015,2.43669,3.29699,0.926919,3.27768,2.72925,1.66879,4.61712,0.00000,0.00000,0.00000,0.00000,0.00000
6000,0.00000,0.00000,0.00000,0.00000,2.74817,2.76897,3.53458,2.52538,2.46568,2.42241,2.13066,1.21615,2.99456,1.01350,2.50488,1.57103,1.60036,2.85995,1.99402,1.21778,1.44531,1.56603,2.08311,2.00274,2.19026,1.10062,2.34757,0.837281,1.26328,3.01885,3.15192,1.24493,2.57459,1.87792,3.57212,0.909760,2.87320,1.97100,2.02958,0.880590,2.06647,1.99799,5.27037,0.959682,4.05643,0.00000,0.00000,0.00000,0.00000,0.00000
7000,0.00000,0.00000,0.00000,0.00000,3.91926,2.35498,2.58490,1.32158,1.92571,2.10752,1.17266,1.48808,1.38503,1.73218,3.68157,0.578098,0.759379,2.32340,2.12563,1.28289,0.849543,1.64828,1.65099,0.688673,3.89699,1.07357,1.02235,3.09354,1.26726,1.58951,0.862470,0.692926,2.52641,1.97165,2.38292,1.01124,0.942226,3.37017,1.12351,0.181377,2.08936,2.27746,1.25628,2.66073,14.1525,0.00000,0.00000,0.00000,0.00000,0.00000
8000,0.00000,0.00000,0.00000,0.00000,3.73027,1.08053,2.56477,1.36162,1.45470,1.35351,0.562853,0.957624,2.05801,1.37580,1.74634,0.295755,2.98616,1.74721,2.28391,2.58922,1.44159,1.26532,1.60392,0.745623,4.05131,1.89770,1.73283,2.54724,0.950380,1.92640,1.45046,1.60268,1.44444,0.489898,1.31829,0.752524,1.03479,3.09533,1.04934,1.01689,1.12361,2.42593,1.62650,1.91731,2.04855,0.00000,0.00000,0.00000,0.00000,0.00000
9000,0.00000,0.00000,0.00000,0.00000,1.02974,0.898328,1.69200,1.39690,1.56575,0.595622,1.18345,1.09464,1.87598,0.828217,1.50138,0.743619,1.56073,3.05846,2.87603,1.72080,0.948350,1.37149,1.11116,2.16631,1.09937,0.977300,1.32260,1.92455,0.904873,1.03127,1.58614,2.00711,1.63492,2.25002,1.83413,1.22142,2.09714,1.09399,0.786717,3.24982,1.75827,1.01554,1.19809,0.779912,3.27558,0.00000,0.00000,0.00000,0.00000,0.00000
10000,0.00000,0.00000,0.00000,0.00000,3.28600,1.89947,0.502649,2.20294,1.71405,1.68884,0.489429,0.824960,2.51705,1.42676,1.27216,0.733633,1.61694,2.40467,1.75343,0.398035,1.37655,1.14960,2.70817,1.16727,0.908010,2.33455,0.933561,2.63876,1.58341,0.933896,1.63460,1.19081,1.79928,1.36884,3.53399,1.35593,1.22605,1.28318,1.20650,1.81923,1.47668,1.77572,1.46659,1.82948,5.13449,0.00000,0.00000,0.00000,0.00000,0.00000
11000,0.00000,0.00000,0.00000,0.00000,1.58458,2.10055,0.939687,0.712091,1.49013,2.13940,0.374041,0.602327,1.61184,1.77128,1.59555,1.19669,1.19846,2.25092,1.31752,1.64915,0.582323,0.624975,0.597656,0.753691,2.34878,0.878896,1.50797,1.96861,0.367844,0.559330,1.73112,1.27207,1.78708,0.833019,2.37964,1.34657,1.60172,1.72087,1.16687,0.833808,1.31886,1.59464,1.74174,3.06152,4.82988,0.00000,0.00000,0.00000,0.00000,0.00000
12000,0.00000,0.00000,0.00000,0.00000,4.68886,2.46704,0.411427,1.14232,0.550439,3.45206,1.51432,0.496241,1.43112,1.29251,1.30193,1.68580,0.663018,1.16103,1.85071,2.71402,1.77470,2.11474,1.32267,0.293949,0.638132,1.49201,1.62697,1.51611,1.42144,0.868771,0.431216,1.94157,1.59774,1.57829,1.53830,0.585521,1.26637,1.98697,0.844445,3.38101,1.94239,3.31251,1.80955,1.56598,3.79828,0.00000,0.00000,0.00000,0.00000,0.00000
13000,0.00000,0.00000,0.00000,0.00000,3.34204,2.97788,1.40674,1.71292,1.15960,0.973055,0.999395,0.244400,1.04380,2.02157,2.91005,1.33763,1.33002,2.21641,0.806337,1.35363,1.11666,1.25149,0.736166,1.08308,3.26150,2.03358,1.26665,2.02354,1.07992,1.88616,2.47868,0.378038,0.965857,0.823339,2.97842,1.26810,1.47852,1.60442,2.02816,2.72624,0.163396,3.43545,2.15219,1.87594,5.41131,0.00000,0.00000,0.00000,0.00000,0.00000
14000,0.00000,0.00000,0.00000,0.00000,2.81165,0.976944,1.93879,0.930993,1.01388,1.55080,1.27204,1.33694,1.51194,0.250340,1.72444,0.929285,0.641660,2.87339,2.36786,1.70360,1.50397,1.53296,1.81816,1.61659,3.91423,1.78472,1.40359,1.18111,1.08287,2.35631,1.14318,1.74132,1.80919,1.98061,1.11041,0.899401,1.05676,1.77672,0.981319,2.57886,1.35394,1.84917,2.86029,1.43308,1.61480,0.00000,0.00000,0.00000,0.00000,0.00000
15000,0.00000,0.00000,0.00000,0.00000,2.53403,2.30089,1.01786,1.22383,1.27499,2.78164,1.45120,0.225277,0.844745,1.86448,1.41935,0.963060,0.795069,1.70234,2.48758,2.80277,1.01971,1.48917,3.84436,0.930841,2.41455,2.63145,0.636132,1.56215,1.06160,2.48097,0.970260,1.95225,1.65917,1.70483,4.57854,1.08978,1.26483,3.86953,2.55412,1.99972,1.18147,1.79698,0.918493,1.64723,6.93264,0.00000,0.00000,0.00000,0.00000,0.00000
16000,0.00000,0.00000,0.00000,0.00000,4.80682,2.30729,0.955870,2.39728,1.71720,2.24999,1.02812,1.66777,1.67127,1.47496,3.23648,0.898640,1.66501,1.58719,1.02135,1.42982,0.929963,1.06519,1.70567,0.730661,1.76529,1.71648,1.56389,1.69190,0.944727,0.992160,2.13735,2.23213,2.12222,2.66232,3.80835,2.09539,0.712161,2.48435,0.651594,0.870766,1.36710,1.60482,1.77564,2.94636,7.58554,0.00000,0.00000,0.00000,0.00000,0.00000
17000,0.00000,0.00000,0.00000,0.00000,3.92982,1.88217,0.665327,1.94394,1.37358,1.36083,2.03438,0.537906,1.70148,1.77735,2.65779,0.629455,0.752992,3.32970,1.61234,1.83064,1.70193,0.822510,2.01628,1.44308,1.25429,0.274437,0.787359,0.714675,2.05653,1.77508,0.847743,0.509925,1.68616,2.14181,0.827777,0.396568,2.29373,3.14501,1.13551,2.36541,0.984276,1.99874,3.42029,2.11315,3.48549,0.00000,0.00000,0.00000,0.00000,0.00000
18000,0.00000,0.00000,0.00000,0.00000,1.77642,1.74054,1.71444,1.54720,0.758603,1.25121,0.962865,0.897767,1.43460,2.23368,1.77055,1.04118,1.79418,1.87326,2.70276,2.95994,1.12417,0.932823,0.987651,2.09644,2.24724,0.549653,0.994470,1.09405,1.54412,1.95439,0.655706,1.84862,1.14243,1.08168,2.42088,1.43623,0.507014,1.20697,2.61337,2.49420,0.637311,1.00948,2.94969,1.92507,1.46919,0.00000,0.00000,0.00000,0.00000,0.00000
19000,0.00000,0.00000,0.00000,0.00000,3.30548,1.00437,2.81699,3.51863,1.36911,2.20561,1.49900,1.07239,2.52119,0.389862,2.91595,1.62993,2.07171,1.65704,0.509840,1.29492,1.83582,2.25061,2.77881,1.67414,2.06341,1.71445,0.717694,1.52075,1.36873,2.49826,1.87627,1.47746,1.92079,0.635621,2.37335,2.28203,1.24044,1.23341,1.31552,2.84710,1.23410,0.287245,1.80966,1.60914,3.83970,0.00000,0.00000,0.00000,0.00000,0.00000
20000,0.00000,0.00000,0.00000,0.00000,1.08768,0.463700,0.868009,1.39692,0.532770,2.62108,1.55133,1.26119,2.11738,0.765681,1.84474,0.586984,0.229378,2.03907,1.06960,1.90592,0.895775,1.00520,3.78636,1.02013,1.66737,1.45999,0.679494,1.78742,0.685005,1.19236,2.10515,2.06542,1.31286,0.581026,0.872152,1.05264,0.702939,2.44285,1.61618,3.53007,0.221091,2.90185,1.21182,1.92655,10.4683,0.00000,0.00000,0.00000,0.00000,0.00000
21000,0.00000,0.00000,0.00000,0.00000,2.18450,0.937177,1.92765,1.94208,1.37480,3.77724,1.35397,1.51707,3.34027,1.85963,1.13719,1.70870,1.69221,1.85488,1.20114,0.853996,1.24603,1.07279,1.62121,1.31889,1.36284,1.28090,1.14877,3.40555,0.945103,1.64124,1.35439,1.44957,1.96218,2.35565,2.55030,0.733131,1.65435,1.98744,1.55871,0.975969,1.15995,1.17575,1.60054,1.66088,3.90155,0.00000,0.00000,0.00000,0.00000,0.00000
22000,0.00000,0.00000,0.00000,0.00000,3.35838,3.07037,2.15251,1.44184,1.83150,1.44674,1.71807,1.33922,1.85290,2.21840,1.68693,0.980392,0.953369,1.20875,2.99777,2.01437,1.11866,1.34990,1.46349,0.666320,2.38199,0.928354,2.07381,1.08355,1.56540,2.47273,1.59087,2.66178,1.19267,2.74133,2.03880,0.466763,1.94198,0.697164,1.91745,1.30712,0.880356,3.14622,1.80614,1.23480,8.77016,0.00000,0.00000,0.00000,0.00000,0.00000
23000,0.00000,0.00000,0.00000,0.00000,4.70969,2.93094,0.668324,1.71593,1.01649,2.28364,1.66583,1.45614,1.61664,1.05119,1.67920,0.642793,0.574027,2.28125,0.961149,0.918866,1.62269,1.71367,2.81263,1.33150,1.64664,1.81233,0.920742,1.25495,0.930998,2.05281,0.494021,0.389021,1.51454,1.60136,2.22758,0.879715,2.22915,1.83034,1.25534,1.29653,1.72006,1.31077,3.17820,1.61378,3.16054,0.00000,0.00000,0.00000,0.00000,0.00000
24000,0.00000,0.00000,0.00000,0.00000,3.41458,1.37449,1.12019,1.19617,2.11882,0.788542,1.09236,2.40186,1.36564,1.88292,1.90289,1.24246,1.37600,0.451676,1.15740,1.02820,1.86254,0.421015,0.859977,1.13258,3.39217,0.836391,0.814188,2.22473,1.59029,1.45392,1.31420,1.12317,3.92481,0.976191,1.08517,0.679674,0.834354,2.02662,0.994883,1.74031,0.590769,1.17062,2.25416,3.25880,4.37543,0.00000,0.00000,0.00000,0.00000,0.00000
25000,0.00000,0.00000,0.00000,0.00000,2.80834,1.03243,1.23624,0.702377,0.872959,1.95105,0.639576,1.81699,1.57222,0.593271,1.19253,0.586904,1.01292,2.43821,2.02239,0.989104,1.70387,1.88781,2.33352,1.45251,1.47087,1.27447,0.751777,2.88674,0.180471,3.02749,0.998809,1.52926,3.19316,1.15751,3.60095,0.660501,2.07528,2.92017,1.27708,2.35858,0.988280,3.03974,2.48060,2.41947,6.12669,0.00000,0.00000,0.00000,0.00000,0.00000
26000,0.00000,0.00000,0.00000,0.00000,5.08789,1.98257,1.10518,2.25461,2.23048,2.01196,1.75125,0.822530,2.09459,1.17826,0.873577,0.702787,0.903497,1.95062,1.49291,3.84463,1.44326,2.04618,2.17784,1.22246,1.84114,1.19186,0.750874,1.76238,0.906555,1.53603,1.80960,1.53684,1.76217,1.85671,1.93780,1.65995,2.07352,1.62964,1.91297,1.83025,1.38126,0.210443,1.57338,1.05625,5.55486,0.00000,0.00000,0.00000,0.00000,0.00000
27000,0.00000,0.00000,0.00000,0.00000,1.58784,1.32901,1.72097,2.28271,2.17074,0.510660,0.674252,0.356448,1.63926,1.58751,2.02269,0.813294,1.29905,1.09501,0.753891,2.01936,1.67258,0.683064,1.63447,0.413777,1.76069,0.408511,1.36019,2.88601,1.41813,0.964323,0.485309,1.63195,2.22428,0.846982,1.15823,2.89869,1.51282,1.39587,0.631908,1.30001,1.69314,3.56670,1.44797,1.47568,4.22176,0.00000,0.00000,0.00000,0.00000,0.00000
28000,0.00000,0.00000,0.00000,0.00000,2.22956,3.57954,1.96142,1.54797,1.96436,2.13420,1.10187,0.856248,1.69140,1.49997,1.86646,0.905638,2.24745,3.02821,0.943577,1.51957,1.53294,0.884980,2.45675,1.46112,1.26050,1.53652,2.23597,0.756478,1.47302,2.09238,1.22024,2.03915,3.02935,0.975973,1.38426,2.10840,0.607102,2.68546,0.780345,2.30789,1.42033,1.93647,2.68229,0.994933,4.92753,0.00000,0.00000,0.00000,0.00000,0.00000
29000,0.00000,0.00000,0.00000,0.00000,0.143352,1.54068,1.04729,2.63034,0.613275,1.74695,1.05762,1.96147,1.90174,0.976795,2.79865,1.51785,0.634965,2.22454,1.89417,2.52932,0.714315,1.64791,2.83662,1.68113,0.938630,1.57831,0.667532,0.724634,1.58931,1.06383,1.57357,1.55633,2.38857,0.949590,1.40416,0.979935,0.465666,2.66403,1.45190,0.469155,1.46520,3.09008,1.14187,2.97620,3.66845,0.00000,0.00000,0.00000,0.00000,0.00000
30000,0.00000,0.00000,0.00000,0.00000,1.94001,0.656415,1.59016,0.719362,2.36224,0.290791,1.44359,1.82239,2.29334,0.979614,2.03606,1.49620,0.950938,1.02390,1.13954,0.936313,0.940846,0.561572,0.973700,0.694997,1.37734,0.608016,1.11676,1.70031,1.60369,1.98911,0.894285,1.76847,2.01172,1.42447,3.31919,0.848263,1.00693,1.69766,1.43435,2.09626,1.11599,2.66437,2.19005,1.49255,8.43187,0.00000,0.00000,0.00000,0.00000,0.00000
31000,0.00000,0.00000,0.00000,0.00000,2.83961,1.51394,1.81169,2.64622,0.805764,1.13591,1.48591,1.78766,1.71834,1.01923,3.07649,2.40124,1.07340,0.988373,1.27424,1.22965,1.00325,1.61391,2.27307,1.30659,2.13226,1.41228,1.42070,1.72562,0.680616,3.48563,0.992710,1.02555,2.03368,2.02344,3.72922,1.45311,1.23182,1.91021,0.522588,1.01724,0.843633,1.93982,1.14301,1.09261,2.76414,0.00000,0.00000,0.00000,0.00000,0.00000
