iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.00000,1.66667,0.00000,1.66667,0.00000,0.759259,0.00000,0.759259,0.111111,0.648148,0.111111,0.648148,0.111111,0.759259,0.00000,0.759259,0.00000,0.759259,0.111111,0.648148,0.00000,0.648148,0.00000,0.648148,0.00000,0.648148,0.00000,0.759259,0.111111,0.648148,0.111111,0.648148,0.111111,0.759259,0.00000,0.759259,0.00000,0.759259,0.111111,0.648148,0.111111,0.648148,0.00000,0.648148,0.00000,1.66667,0.00000,1.66667,0.00000,0.00000
1000,0.00000,1.66667,0.00000,1.66667,0.189815,0.393519,0.310185,0.449074,0.402778,0.347222,0.453704,0.305556,0.476852,0.416667,0.388889,0.407407,0.319444,0.449074,0.393519,0.347222,0.328704,0.356481,0.398148,0.291667,0.291667,0.379630,0.291667,0.412037,0.393519,0.379630,0.407407,0.328704,0.416667,0.476852,0.282407,0.439815,0.273148,0.467593,0.393519,0.287037,0.458333,0.375000,0.375000,0.351852,0.0555556,1.66667,0.00000,1.66667,0.00000,0.00000
2000,0.00000,1.66667,0.00000,1.66667,0.189815,0.444444,0.333333,0.384259,0.425926,0.328704,0.425926,0.319444,0.467593,0.462963,0.273148,0.449074,0.398148,0.402778,0.444444,0.375000,0.310185,0.333333,0.337963,0.351852,0.375000,0.365741,0.231481,0.402778,0.425926,0.287037,0.412037,0.342593,0.416667,0.421296,0.328704,0.393519,0.291667,0.513889,0.421296,0.314815,0.435185,0.365741,0.351852,0.356481,0.0509259,1.66667,0.00000,1.66667,0.00000,0.00000
3000,0.00000,1.66667,0.00000,1.66667,0.152778,0.513889,0.347222,0.430556,0.425926,0.351852,0.416667,0.328704,0.462963,0.375000,0.319444,0.402778,0.314815,0.435185,0.425926,0.356481,0.310185,0.324074,0.333333,0.342593,0.337963,0.305556,0.342593,0.402778,0.430556,0.324074,0.407407,0.328704,0.444444,0.481481,0.365741,0.425926,0.296296,0.481481,0.435185,0.310185,0.407407,0.356481,0.291667,0.365741,0.0509259,1.66667,0.00000,1.66667,0.00000,0.00000
4000,0.00000,1.66667,0.00000,1.66667,0.157407,0.375000,0.337963,0.462963,0.435185,0.310185,0.444444,0.324074,0.444444,0.462963,0.305556,0.425926,0.347222,0.425926,0.421296,0.337963,0.351852,0.347222,0.324074,0.305556,0.300926,0.361111,0.365741,0.416667,0.449074,0.351852,0.430556,0.361111,0.453704,0.416667,0.402778,0.425926,0.310185,0.347222,0.421296,0.319444,0.416667,0.296296,0.328704,0.402778,0.0370370,1.66667,0.00000,1.66667,0.00000,0.00000
5000,0.00000,1.66667,0.00000,1.66667,0.185185,0.379630,0.273148,0.421296,0.425926,0.333333,0.416667,0.351852,0.435185,0.453704,0.296296,0.462963,0.296296,0.430556,0.458333,0.361111,0.407407,0.351852,0.375000,0.365741,0.337963,0.337963,0.287037,0.453704,0.425926,0.319444,0.449074,0.324074,0.449074,0.365741,0.365741,0.388889,0.319444,0.416667,0.439815,0.337963,0.402778,0.347222,0.291667,0.379630,0.0416667,1.66667,0.00000,1.66667,0.00000,0.00000
6000,0.00000,1.66667,0.00000,1.66667,0.152778,0.467593,0.337963,0.412037,0.453704,0.333333,0.462963,0.282407,0.412037,0.402778,0.351852,0.476852,0.282407,0.439815,0.388889,0.370370,0.379630,0.328704,0.379630,0.310185,0.361111,0.365741,0.361111,0.439815,0.393519,0.314815,0.379630,0.328704,0.370370,0.495370,0.300926,0.467593,0.263889,0.416667,0.444444,0.273148,0.435185,0.342593,0.361111,0.370370,0.0509259,1.66667,0.00000,1.66667,0.00000,0.00000
7000,0.00000,1.66667,0.00000,1.66667,0.175926,0.435185,0.328704,0.476852,0.407407,0.328704,0.421296,0.351852,0.435185,0.476852,0.282407,0.384259,0.324074,0.412037,0.462963,0.342593,0.351852,0.370370,0.370370,0.370370,0.342593,0.356481,0.314815,0.444444,0.370370,0.287037,0.398148,0.328704,0.402778,0.444444,0.337963,0.467593,0.305556,0.425926,0.407407,0.328704,0.393519,0.337963,0.333333,0.365741,0.0601852,1.66667,0.00000,1.66667,0.00000,0.00000
8000,0.00000,1.66667,0.00000,1.66667,0.231481,0.449074,0.296296,0.476852,0.379630,0.342593,0.425926,0.333333,0.421296,0.407407,0.351852,0.412037,0.314815,0.398148,0.425926,0.324074,0.305556,0.375000,0.412037,0.347222,0.379630,0.347222,0.328704,0.476852,0.412037,0.328704,0.402778,0.333333,0.444444,0.449074,0.291667,0.472222,0.287037,0.412037,0.398148,0.310185,0.435185,0.305556,0.310185,0.351852,0.0555556,1.66667,0.00000,1.66667,0.00000,0.00000
9000,0.00000,1.66667,0.00000,1.66667,0.199074,0.425926,0.296296,0.462963,0.356481,0.314815,0.472222,0.305556,0.425926,0.416667,0.361111,0.398148,0.342593,0.458333,0.458333,0.310185,0.361111,0.333333,0.351852,0.435185,0.351852,0.375000,0.342593,0.421296,0.449074,0.305556,0.407407,0.324074,0.439815,0.370370,0.282407,0.444444,0.291667,0.407407,0.416667,0.287037,0.490741,0.319444,0.324074,0.393519,0.0324074,1.66667,0.00000,1.66667,0.00000,0.00000
