iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.00000,1.66667,0.00000,1.66667,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.15741,0.00000,1.66667,0.00000,1.66667,0.00000,0.00000
1000,0.00000,1.66667,0.00000,1.66667,0.347222,0.611111,0.537037,0.564815,0.638889,0.578704,0.583333,0.578704,0.583333,0.620370,0.560185,0.620370,0.490741,0.629630,0.550926,0.652778,0.597222,0.500000,0.578704,0.513889,0.592593,0.629630,0.532407,0.662037,0.546296,0.550926,0.611111,0.458333,0.625000,0.555556,0.611111,0.620370,0.546296,0.532407,0.592593,0.583333,0.513889,0.634259,0.638889,0.648148,0.125000,1.66667,0.00000,1.66667,0.00000,0.00000
2000,0.00000,1.66667,0.00000,1.66667,0.365741,0.569444,0.629630,0.578704,0.597222,0.537037,0.587963,0.606481,0.625000,0.546296,0.601852,0.560185,0.578704,0.550926,0.592593,0.620370,0.597222,0.537037,0.620370,0.569444,0.606481,0.564815,0.574074,0.592593,0.564815,0.597222,0.541667,0.546296,0.592593,0.606481,0.546296,0.587963,0.546296,0.490741,0.625000,0.523148,0.611111,0.597222,0.592593,0.666667,0.101852,1.66667,0.00000,1.66667,0.00000,0.00000
3000,0.00000,1.66667,0.00000,1.66667,0.361111,0.587963,0.601852,0.564815,0.583333,0.662037,0.597222,0.578704,0.638889,0.546296,0.587963,0.629630,0.597222,0.550926,0.537037,0.615741,0.541667,0.611111,0.560185,0.569444,0.550926,0.592593,0.611111,0.592593,0.532407,0.620370,0.555556,0.560185,0.532407,0.592593,0.574074,0.550926,0.555556,0.620370,0.472222,0.597222,0.555556,0.606481,0.564815,0.671296,0.115741,1.66667,0.00000,1.66667,0.00000,0.00000
4000,0.00000,1.66667,0.00000,1.66667,0.393519,0.587963,0.643519,0.634259,0.537037,0.597222,0.638889,0.532407,0.615741,0.550926,0.620370,0.597222,0.587963,0.629630,0.453704,0.648148,0.555556,0.601852,0.564815,0.578704,0.550926,0.513889,0.611111,0.541667,0.587963,0.587963,0.587963,0.564815,0.578704,0.513889,0.601852,0.541667,0.564815,0.597222,0.523148,0.550926,0.606481,0.611111,0.550926,0.708333,0.0833333,1.66667,0.00000,1.66667,0.00000,0.00000
5000,0.00000,1.66667,0.00000,1.66667,0.347222,0.652778,0.532407,0.578704,0.587963,0.629630,0.606481,0.550926,0.569444,0.611111,0.708333,0.490741,0.541667,0.583333,0.587963,0.601852,0.578704,0.569444,0.657407,0.550926,0.523148,0.569444,0.537037,0.564815,0.592593,0.560185,0.625000,0.574074,0.555556,0.560185,0.601852,0.546296,0.611111,0.592593,0.532407,0.638889,0.486111,0.601852,0.564815,0.671296,0.101852,1.66667,0.00000,1.66667,0.00000,0.00000
6000,0.00000,1.66667,0.00000,1.66667,0.356481,0.671296,0.601852,0.523148,0.597222,0.583333,0.564815,0.634259,0.564815,0.601852,0.532407,0.634259,0.574074,0.537037,0.620370,0.574074,0.527778,0.560185,0.597222,0.527778,0.675926,0.560185,0.527778,0.703704,0.523148,0.601852,0.481481,0.569444,0.615741,0.504630,0.643519,0.555556,0.564815,0.592593,0.550926,0.587963,0.532407,0.574074,0.546296,0.736111,0.115741,1.66667,0.00000,1.66667,0.00000,0.00000
7000,0.00000,1.66667,0.00000,1.66667,0.310185,0.615741,0.638889,0.504630,0.578704,0.555556,0.625000,0.615741,0.467593,0.629630,0.606481,0.625000,0.587963,0.574074,0.560185,0.611111,0.569444,0.606481,0.578704,0.583333,0.578704,0.620370,0.541667,0.634259,0.578704,0.541667,0.587963,0.611111,0.555556,0.564815,0.597222,0.527778,0.601852,0.574074,0.574074,0.509259,0.541667,0.587963,0.578704,0.671296,0.125000,1.66667,0.00000,1.66667,0.00000,0.00000
8000,0.00000,1.66667,0.00000,1.66667,0.337963,0.620370,0.541667,0.615741,0.587963,0.583333,0.592593,0.555556,0.560185,0.648148,0.569444,0.541667,0.606481,0.620370,0.518519,0.578704,0.629630,0.550926,0.592593,0.537037,0.606481,0.625000,0.606481,0.527778,0.592593,0.606481,0.527778,0.615741,0.513889,0.634259,0.564815,0.509259,0.597222,0.550926,0.606481,0.611111,0.587963,0.560185,0.555556,0.685185,0.0740741,1.66667,0.00000,1.66667,0.00000,0.00000
9000,0.00000,1.66667,0.00000,1.66667,0.402778,0.574074,0.629630,0.578704,0.537037,0.560185,0.597222,0.537037,0.643519,0.546296,0.541667,0.578704,0.634259,0.662037,0.527778,0.606481,0.597222,0.541667,0.560185,0.583333,0.592593,0.592593,0.546296,0.606481,0.560185,0.597222,0.578704,0.527778,0.620370,0.532407,0.578704,0.597222,0.597222,0.564815,0.606481,0.509259,0.620370,0.504630,0.606481,0.675926,0.0925926,1.66667,0.00000,1.66667,0.00000,0.00000
