iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.00000,0.00000,0.00000,0.00000,0.00000,0.627020,0.00000,0.360713,0.00000,1.11459,0.00000,0.690212,0.00000,0.587524,0.00000,0.695683,0.00000,0.684095,0.00000,0.836215,0.00000,0.307680,0.00000,0.525993,0.00000,0.527425,0.00000,0.664417,0.00000,0.888877,0.00000,0.660140,0.00000,0.916693,0.00000,1.09608,0.00000,0.690284,0.00000,0.688130,0.00000,0.895445,0.00000,0.585179,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1000,0.00000,0.00000,0.00000,0.00000,0.517833,0.802463,1.09547,0.525501,1.13040,1.47169,1.74244,1.15061,1.18566,0.739412,0.756172,0.233627,0.344091,0.443432,1.15246,1.86028,1.21513,1.28389,0.276126,1.39392,1.66132,1.44826,1.12474,0.807928,1.01354,0.375847,0.995998,1.91185,0.838953,0.989224,0.738818,1.12941,1.23890,1.62278,1.45138,1.71250,1.10185,1.11805,1.30385,0.714128,1.68725,0.00000,0.00000,0.00000,0.00000,0.00000
2000,0.00000,0.00000,0.00000,0.00000,2.12733,1.46901,0.566378,1.28144,1.67092,0.961073,1.61073,1.16404,1.82028,1.57802,1.31362,1.76774,0.862027,0.597623,1.50343,0.854688,1.92552,1.82668,1.50517,1.14656,1.15746,0.509206,0.581323,2.18768,1.24658,1.27693,1.00048,1.09642,1.59784,0.480789,1.10985,0.665796,1.77513,1.95987,0.700477,1.65019,0.916891,1.13542,2.13258,1.36464,2.39574,0.00000,0.00000,0.00000,0.00000,0.00000
3000,0.00000,0.00000,0.00000,0.00000,2.79691,2.00468,1.36941,1.04536,2.03669,1.82698,1.66791,1.24165,1.64350,1.42979,1.45633,0.785576,0.769871,1.85756,1.19166,1.20723,1.50008,0.590650,2.51269,2.21538,0.323687,1.21078,0.573477,2.37297,0.995200,2.64819,1.13216,1.31396,1.64367,0.921414,1.75523,1.12361,1.99412,0.590878,1.94527,0.980002,0.590996,1.71954,0.752234,0.998690,2.78803,0.00000,0.00000,0.00000,0.00000,0.00000
4000,0.00000,0.00000,0.00000,0.00000,0.855287,1.15911,1.15330,1.13138,2.36977,1.89656,1.99050,2.80731,0.987579,1.48792,2.24515,2.11588,1.32054,1.18288,2.50021,0.739469,1.54167,0.875332,2.04939,1.65896,2.87135,1.88124,1.66172,1.47150,2.63779,2.17009,1.05590,3.06355,1.63791,1.49047,1.87000,2.77523,1.25534,1.31056,2.18100,1.40234,1.17427,1.41890,0.638976,1.65564,2.18198,0.00000,0.00000,0.00000,0.00000,0.00000
5000,0.00000,0.00000,0.00000,0.00000,0.992297,1.86021,0.594593,2.09968,1.77731,2.30021,2.12200,2.33810,1.82551,1.47150,2.40207,2.04017,3.00569,2.44635,2.12460,1.40603,1.09401,1.40332,1.92446,2.14160,1.64226,2.76393,2.44466,3.58585,1.93313,1.85324,2.62515,1.38459,2.50344,2.17922,2.06016,2.57187,1.30184,1.68783,0.892564,1.84301,1.53616,2.43930,1.56000,1.33249,4.32457,0.00000,0.00000,0.00000,0.00000,0.00000
6000,0.00000,0.00000,0.00000,0.00000,1.59345,0.857201,1.97238,2.20062,2.61269,2.28224,2.41157,2.51917,1.87121,2.35245,2.86561,1.13142,3.28748,2.37979,3.57271,1.69866,2.71992,1.21653,2.05158,2.89325,2.52857,3.00349,2.30022,2.65322,1.79371,2.98698,3.28550,1.70091,2.93856,2.89712,2.75023,2.00095,1.19038,1.91618,2.01126,2.21078,1.80878,1.44863,1.48528,0.790133,2.08768,0.00000,0.00000,0.00000,0.00000,0.00000
7000,0.00000,0.00000,0.00000,0.00000,2.19733,1.42323,1.96831,1.94978,2.49527,2.28828,1.93860,1.82876,2.72280,3.72137,2.90127,4.17067,3.04601,1.65546,2.37489,3.63436,2.97392,2.34230,2.11399,3.72847,2.46781,2.68476,2.63028,2.06999,3.21744,2.93797,3.41533,3.01285,1.96984,2.42435,2.79317,2.83673,2.62368,3.23472,2.26219,0.807716,1.52948,1.35360,2.37856,2.12769,3.84625,0.00000,0.00000,0.00000,0.00000,0.00000
8000,0.00000,0.00000,0.00000,0.00000,1.77791,2.44420,1.87224,1.80789,1.80578,2.70316,3.34962,1.96691,1.91284,3.76558,3.38395,3.29182,3.51028,3.44444,3.33359,2.34080,3.98001,2.71587,3.39868,3.76125,3.59003,2.88396,3.23177,2.66510,3.41761,2.73071,2.66113,3.11572,1.82842,2.56389,2.60470,4.45828,2.87241,1.97451,3.32090,2.93262,1.80303,2.18788,1.69906,1.89832,3.05381,0.00000,0.00000,0.00000,0.00000,0.00000
9000,0.00000,0.00000,0.00000,0.00000,1.15716,0.972754,2.75419,2.03518,2.87782,2.08149,2.57459,2.42667,3.26442,3.75478,5.01656,3.50637,4.08741,4.22822,4.62693,2.81236,4.02027,3.18237,4.15965,3.64348,3.57645,3.37827,4.10986,3.54485,3.72169,3.84440,2.85351,2.35569,3.38695,2.47575,3.30817,3.05999,3.80055,2.62490,2.82713,3.35410,2.16589,1.90192,2.33137,2.29482,1.69938,0.00000,0.00000,0.00000,0.00000,0.00000
10000,0.00000,0.00000,0.00000,0.00000,2.16183,2.28141,2.21547,2.36715,2.89654,3.35324,3.00364,3.12376,3.31970,3.14168,2.67385,4.20042,5.52632,4.16052,4.62803,2.98985,3.80204,4.01861,4.80052,4.82945,3.35276,2.72212,4.23496,5.19226,3.49093,4.58948,3.81168,3.07590,3.38407,2.62957,3.63561,3.41196,3.27457,3.45213,2.92030,1.74737,1.53541,2.35014,2.82317,2.01582,3.78502,0.00000,0.00000,0.00000,0.00000,0.00000
11000,0.00000,0.00000,0.00000,0.00000,2.22277,1.60994,2.82153,2.40603,2.86922,3.48606,2.66772,4.21612,4.45855,3.26997,3.78511,4.41705,3.76092,3.95801,2.89473,5.41914,3.53494,3.49163,5.54673,6.14780,3.54231,2.87920,4.01158,4.18919,4.30544,4.18247,5.64981,4.96406,3.99147,4.35505,2.17516,3.54191,3.77813,2.97311,3.62715,3.24697,2.24047,2.63563,2.33382,1.48164,3.49052,0.00000,0.00000,0.00000,0.00000,0.00000
